MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:56:19


[COMMENT]
10_C_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
2,00	-1,00	3,00	14,00	2,00	-1,00	-7,00	0,00	6,00	0,00	6,00	-6,00	9,00	-8059,00	-16,00	10,00
0,00	-16,00	2,00	13,00	2,00	-1,00	-4,00	-4,00	13,00	-4,00	6,00	11,00	11,00	-8062,00	6,00	12,00
2,00	-3,00	1,00	11,00	3,00	-1,00	-3,00	-7,00	12,00	-7,00	3,00	26,00	11,00	-8066,00	-5,00	17,00
5,00	7,00	-6,00	11,00	2,00	-4,00	-6,00	-1,00	15,00	0,00	-1,00	20,00	10,00	-8071,00	-5,00	19,00
3,00	-9,00	-1,00	0,00	2,00	6,00	10,00	10,00	7,00	0,00	-4,00	-12,00	6,00	-8075,00	-4,00	9,00
-11,00	1,00	8,00	7,00	4,00	-3,00	12,00	7,00	12,00	-7,00	-9,00	-39,00	10,00	-8074,00	-16,00	19,00
-6,00	0,00	6,00	13,00	0,00	-3,00	-4,00	2,00	10,00	-6,00	-4,00	-38,00	11,00	-8078,00	-21,00	12,00
-10,00	-8,00	7,00	8,00	3,00	-1,00	4,00	-8,00	9,00	-3,00	8,00	-26,00	5,00	-8082,00	-18,00	9,00
-8,00	0,00	5,00	7,00	0,00	-13,00	12,00	-14,00	7,00	-8,00	18,00	-4,00	6,00	-8086,00	-20,00	5,00
-5,00	4,00	0,00	-1,00	3,00	-3,00	5,00	-9,00	7,00	-2,00	9,00	3,00	14,00	-8087,00	-14,00	3,00
-8,00	-3,00	4,00	17,00	3,00	-5,00	-3,00	0,00	6,00	-3,00	6,00	0,00	10,00	-8091,00	-13,00	3,00
-4,00	-4,00	7,00	19,00	2,00	-6,00	-8,00	-2,00	11,00	-1,00	6,00	-3,00	4,00	-8095,00	-10,00	6,00
-2,00	-5,00	10,00	20,00	2,00	-2,00	-10,00	8,00	13,00	-2,00	4,00	8,00	1,00	-8099,00	-10,00	5,00
-5,00	-15,00	8,00	14,00	0,00	-2,00	-9,00	9,00	7,00	-15,00	3,00	14,00	6,00	-8101,00	-7,00	9,00
-5,00	0,00	5,00	6,00	3,00	-4,00	-4,00	-4,00	2,00	-14,00	-4,00	5,00	10,00	-8104,00	-4,00	10,00
3,00	-7,00	6,00	24,00	2,00	0,00	-1,00	3,00	6,00	-6,00	-13,00	-6,00	8,00	-8107,00	-10,00	10,00
-4,00	-7,00	5,00	19,00	0,00	-2,00	-3,00	-1,00	11,00	-9,00	-15,00	11,00	0,00	-8108,00	-8,00	9,00
-3,00	3,00	-6,00	20,00	2,00	-8,00	-3,00	-19,00	14,00	-3,00	-15,00	33,00	4,00	-8110,00	-11,00	10,00
-2,00	23,00	-4,00	17,00	1,00	-8,00	-6,00	-30,00	10,00	-3,00	-3,00	31,00	2,00	-8115,00	-10,00	9,00
-7,00	-4,00	0,00	6,00	3,00	0,00	0,00	-21,00	13,00	-2,00	12,00	12,00	6,00	-8116,00	-8,00	10,00
-3,00	19,00	-6,00	8,00	2,00	-6,00	4,00	6,00	10,00	2,00	18,00	-7,00	6,00	-8117,00	-6,00	6,00
-1,00	3,00	6,00	-9,00	0,00	-5,00	-2,00	6,00	14,00	-5,00	9,00	-11,00	9,00	-8120,00	-9,00	11,00
-13,00	-11,00	9,00	-6,00	0,00	-1,00	4,00	1,00	4,00	-9,00	0,00	27,00	9,00	-8123,00	-6,00	6,00
-7,00	-5,00	6,00	0,00	3,00	-8,00	14,00	7,00	7,00	-17,00	0,00	64,00	10,00	-8123,00	-3,00	10,00
-6,00	-15,00	8,00	-7,00	3,00	-1,00	9,00	0,00	7,00	-9,00	5,00	34,00	7,00	-8127,00	-4,00	17,00
-7,00	-15,00	5,00	-20,00	2,00	-2,00	-1,00	9,00	6,00	9,00	13,00	2,00	10,00	-8129,00	-4,00	12,00
-2,00	-11,00	3,00	-24,00	-1,00	-3,00	9,00	-1,00	8,00	11,00	13,00	-14,00	8,00	-8128,00	-7,00	14,00
-1,00	-8,00	3,00	-4,00	2,00	0,00	-4,00	1,00	7,00	14,00	13,00	-20,00	6,00	-8130,00	-4,00	12,00
-6,00	-4,00	7,00	11,00	3,00	-8,00	-4,00	-1,00	8,00	16,00	6,00	-25,00	2,00	-8133,00	-5,00	9,00
-2,00	-8,00	-3,00	8,00	2,00	-4,00	-3,00	-3,00	9,00	19,00	2,00	-17,00	5,00	-8132,00	-8,00	11,00
-3,00	-1,00	-2,00	8,00	-1,00	-8,00	-3,00	-6,00	3,00	18,00	7,00	-4,00	4,00	-8134,00	-6,00	7,00
-2,00	-5,00	0,00	16,00	0,00	-10,00	-3,00	-22,00	5,00	6,00	19,00	3,00	6,00	-8138,00	-5,00	10,00
2,00	-5,00	-10,00	24,00	3,00	-2,00	-4,00	-29,00	6,00	1,00	16,00	17,00	7,00	-8139,00	-3,00	11,00
5,00	-7,00	-17,00	30,00	3,00	-7,00	-7,00	-16,00	9,00	-5,00	6,00	11,00	5,00	-8141,00	-8,00	17,00
4,00	-4,00	-20,00	17,00	0,00	-2,00	-7,00	1,00	13,00	0,00	-3,00	2,00	9,00	-8141,00	-9,00	16,00
-3,00	-4,00	-14,00	21,00	3,00	-4,00	-8,00	0,00	16,00	-1,00	-7,00	-9,00	5,00	-8141,00	-6,00	13,00
-4,00	2,00	0,00	6,00	1,00	-6,00	-7,00	-2,00	7,00	-18,00	-8,00	-13,00	9,00	-8140,00	-9,00	6,00
-8,00	0,00	2,00	-8,00	-1,00	-7,00	-7,00	0,00	11,00	-28,00	-8,00	5,00	8,00	-8141,00	-3,00	3,00
-3,00	-1,00	-9,00	-11,00	4,00	-2,00	-1,00	6,00	9,00	-26,00	-3,00	12,00	5,00	-8143,00	-7,00	10,00
0,00	-8,00	-8,00	5,00	2,00	-1,00	-1,00	-2,00	10,00	-23,00	9,00	6,00	5,00	-8145,00	-9,00	13,00
-2,00	-4,00	-14,00	1,00	5,00	-2,00	-5,00	3,00	13,00	-17,00	16,00	2,00	6,00	-8144,00	-6,00	14,00
-3,00	-1,00	-15,00	-8,00	3,00	-4,00	-8,00	4,00	3,00	-6,00	9,00	-4,00	5,00	-8146,00	-1,00	15,00
-4,00	-8,00	-8,00	-15,00	2,00	-4,00	-1,00	-1,00	10,00	3,00	-1,00	-13,00	10,00	-8144,00	-2,00	18,00
-8,00	-1,00	-6,00	-19,00	4,00	-2,00	-3,00	-14,00	6,00	15,00	2,00	-3,00	7,00	-8143,00	-3,00	19,00
-7,00	-9,00	-1,00	-13,00	3,00	-4,00	-6,00	-16,00	6,00	24,00	0,00	-2,00	7,00	-8144,00	-10,00	6,00
0,00	-11,00	0,00	3,00	2,00	-1,00	-6,00	-18,00	9,00	21,00	-9,00	-4,00	9,00	-8144,00	-10,00	0,00
-2,00	-15,00	0,00	5,00	2,00	0,00	-4,00	-8,00	6,00	7,00	-4,00	-5,00	2,00	-8144,00	-8,00	5,00
-1,00	-9,00	0,00	12,00	3,00	-1,00	-2,00	3,00	3,00	0,00	13,00	-4,00	10,00	-8144,00	-5,00	5,00
-3,00	-7,00	1,00	4,00	0,00	-3,00	2,00	5,00	10,00	0,00	20,00	-5,00	7,00	-8146,00	-8,00	7,00
-5,00	-2,00	7,00	-1,00	2,00	-1,00	0,00	-6,00	7,00	5,00	15,00	-6,00	6,00	-8144,00	-8,00	17,00
-6,00	0,00	9,00	-4,00	0,00	-7,00	0,00	-3,00	7,00	6,00	10,00	-2,00	10,00	-8145,00	-9,00	10,00
1,00	3,00	3,00	3,00	2,00	-1,00	0,00	2,00	4,00	0,00	6,00	-6,00	4,00	-8144,00	-9,00	14,00
-2,00	-1,00	0,00	0,00	3,00	-4,00	-1,00	11,00	9,00	-2,00	2,00	-14,00	11,00	-8143,00	-5,00	16,00
-8,00	-8,00	-3,00	4,00	3,00	-2,00	-5,00	8,00	10,00	0,00	5,00	-18,00	5,00	-8145,00	-2,00	24,00
-3,00	-6,00	-5,00	7,00	1,00	-5,00	-1,00	-4,00	11,00	2,00	4,00	0,00	2,00	-8145,00	-4,00	23,00
-4,00	-3,00	-6,00	10,00	4,00	-5,00	5,00	-14,00	6,00	-2,00	0,00	9,00	4,00	-8142,00	-8,00	3,00
-5,00	-1,00	0,00	13,00	2,00	0,00	2,00	-16,00	7,00	-4,00	-2,00	4,00	6,00	-8140,00	-4,00	-10,00
